URL,Product Name,Reference Number,Energy Label,Rating,Rating Count,Price,Taille,Design,Résolution,Le saviez vous ?,Définition,Type de dalle,OLED,Idéal pour,Format,Webcam intégrée,Angle de courbure,Courbure,Modèle,Temps de réponse,Le saviez vous ?,Fréquence de balayage,L'intêret de la fréquence de balayage,Luminosité,Information sur la luminosité,Contraste,Angle de vue (en degré),Technologie,Le + de la technologie,HDR,HDMI 2.1,DisplayPort,USB-C,Sortie casque,MICRO HDMI 2.1,Anti reflets,Filtre lumière bleue,Haut-parleurs intégrés,Découvrez nos enceintes,Ecran inclinable,Ecran pivotable en mode portrait,Pied(s) ajustable(s),Norme VESA,Le saviez-vous ?,Pied ajustable,Le saviez vous,Energie label,Consommation en fonctionnement,Consommation en fonctionnement HDR x 1000 h,Dimensions sans pied L x h x p,Dimensions avec pied L x h x p,Poids avec pied,Poids sans pied,Fabriqué en,Garantie,Disponibilité des pièces détachées (données fournisseur),Référence constructeur,Marque
"https://www.boulanger.com/ref/1216286","Ecran PC Gamer Samsung ODYSSEY OLED G9 G91SD 49'' 144Hz","1216286","G","5/5","1","999,99","49" (124 cm)","écran incurvé","5120 x 1440 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","DQHD","OLED","Unknown","Unknown","32/9, comme 2 écrans standards côte à côte, permet d'ouvrir jusqu'à 5 fenêtres","Non","1800R","Un écran incurvé peut proposer une courbure accentuée ou large et le chiffre terminé par la lettre R correspond à son angle de courbure, mesuré en millimètres","Samsung Odyssey G9","0,03 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","144 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","250 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","1000000","178 °","AMD FreeSync","permet à l'écran et à la carte graphique de l'ordinateur de se synchroniser","oui, la technologie HDR permet à un écran d'afficher plus de couleurs et de contrastes.","1","1","1","Non","1","Oui","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","pas de haut-parleur intégré","cliquez ici","Oui","Non","oui permet de régler la hauteur et l'inclinaison de l'écran","100 x 100 mm","La norme d'interface VESA est la distance entre les 4 trous de fixation à l'arrière du moniteur (distance horizontale x distance verticale). Cette norme est utilisée pour la fixation de téléviseurs et d'autres écrans sur un support mural ou un pied.","Oui","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","G","49 kWh","Unknown","119.47 x 36.5 x 18.08 cm","NC x 52.93 x 28.41 cm","12,90 Kg","9,20 Kg","Chine","2 ans","Pendant 5 ans, à compter de la date d'achat","ODYSSEY OLED G9 G91SD 49'' 144Hz","SAMSUNG"
"https://www.boulanger.com/ref/1201816","Ecran PC Gamer Asus ROG STRIX XG27ACS Plat 27'' IPS","1201816","F","4,7/5","84","239,99","27" (69 cm)","écran plat","2560 x 1440 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","WQHD","Fast IPS","Unknown","Unknown","16/9, le plus courant et convient à toutes les situations","Non","Unknown","Unknown","Unknown","1 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","180 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","350 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","1000","178 °","Nvidia G-Sync","permet à l'écran et à la carte graphique de l'ordinateur de se synchroniser","oui, la technologie HDR permet à un écran d'afficher plus de couleurs et de contrastes.","Unknown","1","1","Oui","Unknown","Oui","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","pas de haut-parleur intégré","cliquez ici","Oui","Oui","oui permet de régler la hauteur et l'inclinaison de l'écran","100 x 100 mm","La norme d'interface VESA est la distance entre les 4 trous de fixation à l'arrière du moniteur (distance horizontale x distance verticale). Cette norme est utilisée pour la fixation de téléviseurs et d'autres écrans sur un support mural ou un pied.","Oui","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","F","26 kWh","Unknown","64.18 x 36.71 x 6.01 cm","NC x 51.29 x 21.88 cm","6,61 Kg","3,93 Kg","Chine","2 ans","Pas de pièce disponible","ROG STRIX XG27ACS Plat 27'' IPS","ASUS"
"https://www.boulanger.com/ref/1199918","Ecran PC Gamer Samsung ODYSSEY G5 G50D Plat 32'' IPS","1199918","G","4,8/5","4","279,99","32" (80 cm)","écran plat","2560 x 1440 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","QHD","IPS","Unknown","Unknown","16/9, le plus courant et convient à toutes les situations","Unknown","Unknown","Unknown","Samsung Odyssey G5","1 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","180 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","350 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","1000","178 °","AMD FreeSync","permet à l'écran et à la carte graphique de l'ordinateur de se synchroniser","oui, la technologie HDR permet à un écran d'afficher plus de couleurs et de contrastes.","Unknown","1","Unknown","Unknown","Unknown","Oui","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","pas de haut-parleur intégré","cliquez ici","Oui","Oui","oui permet de régler la hauteur de l'écran","100 x 100 mm","La norme d'interface VESA est la distance entre les 4 trous de fixation à l'arrière du moniteur (distance horizontale x distance verticale). Cette norme est utilisée pour la fixation de téléviseurs et d'autres écrans sur un support mural ou un pied.","Oui","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","G","33 kWh","Unknown","41.8 x 70 x 41.8 cm","NC x 58.2 x 26.4 cm","7,40 Kg","Unknown","Chine","3 ans","Pendant 5 ans, à compter de la date d'achat","ODYSSEY G5 G50D Plat 32'' IPS","SAMSUNG"
"https://www.boulanger.com/ref/1199015","Ecran PC Gamer Asus TUF VG34VQL3A Incurvé 34'' VA","1199015","F","4,8/5","58","349,99","34" (86 cm)","écran incurvé","3440 x 1440 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","UWQHD","VA","Unknown","Unknown","21/9, offre 1/3 d'espace supplémentaire à l'écran, et permet d'afficher plusieurs fenêtres","Non","1500R","Un écran incurvé peut proposer une courbure accentuée ou large et le chiffre terminé par la lettre R correspond à son angle de courbure, mesuré en millimètres","Unknown","1 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","180 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","400 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","4000","178 °","Unknown","Unknown","oui, la technologie HDR permet à un écran d'afficher plus de couleurs et de contrastes.","Unknown","2","Unknown","Oui","Unknown","Oui","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","2 x 2 Watts","Unknown","Oui","Non","oui permet de régler la hauteur et l'inclinaison de l'écran","Unknown","Unknown","Oui","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","F","28 kWh","Unknown","80.8 x 364 x 111 cm","NC x 541 x 250 cm","8,10 Kg","5,80 Kg","Chine","2 ans","Pas de pièce disponible","TUF VG34VQL3A Incurvé 34'' VA","ASUS"
"https://www.boulanger.com/ref/1213749","Ecran PC Lg UltraWide 34WR50QK-B 34'' VA","1213749","E","4,7/5","3","259,99","34" (86 cm)","écran incurvé","3440 x 1440 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","WQHD","VA","Unknown","Unknown","21/9, offre 1/3 d'espace supplémentaire à l'écran, et permet d'afficher plusieurs fenêtres","Non","1800R","Un écran incurvé peut proposer une courbure accentuée ou large et le chiffre terminé par la lettre R correspond à son angle de courbure, mesuré en millimètres","Unknown","5 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","100 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","300 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","3000","178 °","Non concerné","Unknown","oui, la technologie HDR permet à un écran d'afficher plus de couleurs et de contrastes.","Unknown","1","Unknown","Oui","Unknown","Oui","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","pas de haut-parleur intégré","cliquez ici","Oui","Oui","oui permet de régler la hauteur et l'inclinaison de l'écran","100 x 100 mm","La norme d'interface VESA est la distance entre les 4 trous de fixation à l'arrière du moniteur (distance horizontale x distance verticale). Cette norme est utilisée pour la fixation de téléviseurs et d'autres écrans sur un support mural ou un pied.","Oui","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","E","26 kWh","Unknown","81 x 35.8 x 9.1 cm","NC x 48.3 x 22.3 cm","5,90 Kg","4,90 Kg","Chine","2 ans","Pendant 2 ans, à compter de la date d'achat","UltraWide 34WR50QK-B 34'' VA","LG"
"https://www.boulanger.com/ref/1199912","Ecran PC Gamer Samsung ODYSSEY G5 G55C Incurvé 27'' VA","1199912","F","4,3/5","20","179,99","27" (68 cm)","écran incurvé","2560 x 1440 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","QHD","VA","Unknown","Unknown","16/9, le plus courant et convient à toutes les situations","Unknown","1000R","Un écran incurvé peut proposer une courbure accentuée ou large et le chiffre terminé par la lettre R correspond à son angle de courbure, mesuré en millimètres","Samsung Odyssey G5","1 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","165 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","300 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","2500","178 °","AMD FreeSync","permet à l'écran et à la carte graphique de l'ordinateur de se synchroniser","oui, la technologie HDR permet à un écran d'afficher plus de couleurs et de contrastes.","Unknown","1","Unknown","Unknown","Unknown","Oui","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","pas de haut-parleur intégré","cliquez ici","Oui","Non","non","75 x 75 mm","La norme d'interface VESA est la distance entre les 2 ou 4 trous de fixation à l'arrière du moniteur (distance horizontale x distance verticale). Cette norme est utilisée pour la fixation de téléviseurs et d'autres écrans sur un support mural ou un pied.","Unknown","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","F","26 kWh","Unknown","61.46 x 38.28 x 12 cm","NC x 47.74 x 27.26 cm","4,10 Kg","3,70 Kg","Chine","3 ans","Pendant 5 ans, à compter de la date d'achat","ODYSSEY G5 G55C Incurvé 27'' VA","SAMSUNG"
"https://www.boulanger.com/ref/1197680","Ecran PC Gamer Asus TUF VG249QL3A Plat 24'' IPS","1197680","E","4,7/5","70","129,99","24" (61 cm)","écran plat","1920 x 1080 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","Full HD","Fast IPS","Unknown","Unknown","16/9, le plus courant et convient à toutes les situations","Non","Unknown","Unknown","Unknown","1 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","180 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","350 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","1000","178 °","Unknown","Unknown","Unknown","Unknown","1","Unknown","Oui","Unknown","Oui","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","2 x 2 Watts","Unknown","Oui","Oui","oui permet de régler la hauteur et l'inclinaison de l'écran","Unknown","Unknown","Oui","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","E","18 kWh","Unknown","54.1 x 32.3 x 6.2 cm","NC x 52.2 x 20.8 cm","5,40 Kg","3,40 Kg","Chine","2 ans","Pas de pièce disponible","TUF VG249QL3A Plat 24'' IPS","ASUS"
"https://www.boulanger.com/ref/1216288","Ecran PC Samsung S30GD 27'' IPS","1216288","D","5/5","1","109,99","27" (68 cm)","écran plat","1920 x 1080 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","Full HD","IPS","Unknown","Unknown","16/9, le plus courant et convient à toutes les situations","Non","Unknown","Unknown","Unknown","5 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","100 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","250 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","1000","178 °","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Non","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","pas de haut-parleur intégré","cliquez ici","Oui","Non","non","Unknown","Unknown","Unknown","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","D","16 kWh","Unknown","61.27 x 36.09 x 3.62 cm","NC x 61.27 x 20.04 cm","2,90 Kg","2,40 Kg","Chine","2 ans","Pendant 5 ans, à compter de la date d'achat","S30GD 27'' IPS","SAMSUNG"
"https://www.boulanger.com/ref/1215760","Ecran PC Gamer Asus XG27ACDNG OLED 27''","1215760","F","5/5","5","789,99","27" (68 cm)","écran plat","2560 x 1440 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","QHD","QD-OLED","Unknown","Unknown","16/9, le plus courant et convient à toutes les situations","Non","Unknown","Unknown","Unknown","0,03 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","360 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","450 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","1 500 000","178 °","Nvidia G-Sync","permet à l'écran et à la carte graphique de l'ordinateur de se synchroniser","oui, la technologie HDR permet à un écran d'afficher plus de couleurs et de contrastes.","2","1","1","Oui","Unknown","Oui","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","non communiqué","Unknown","Oui","Oui","oui permet de régler la hauteur et l'inclinaison de l'écran","100 x 100 mm","La norme d'interface VESA est la distance entre les 4 trous de fixation à l'arrière du moniteur (distance horizontale x distance verticale). Cette norme est utilisée pour la fixation de téléviseurs et d'autres écrans sur un support mural ou un pied.","Oui","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","F","25 kWh","Unknown","61.03 x 51.48 x 21.88 cm","NC x 35.24 x 7.05 cm","7,44 Kg","4,97 Kg","Chine","2 ans","Pas de pièce disponible","XG27ACDNG OLED 27''","ASUS"
"https://www.boulanger.com/ref/1217126","Ecran PC Iiyama PROLITE XUB2792HSU-W6 27''Plat IPS Blanc","1217126","E","Unknown","0","166,99","27" (69 cm)","écran plat","1920 x 1080 pixels","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","Full HD","IPS","Unknown","Unknown","16/9, le plus courant et convient à toutes les situations","Non","Unknown","Unknown","Unknown","0,4 ms","Plus le temps de réponse est bas, plus votre écran passera d'une image à une autre rapidement","100 Hz","permet d'obtenir un meilleur confort visuel. Plus cette valeur est élevée, meilleure l'image sera car elle sera moins saccadée.","250 cd/m²","exprimée en candela par mètre carré (cd/m2), plus cette valeur est élevée, plus l'affichage est lumineux et visible","1300","178 °","Unknown","Unknown","Unknown","Unknown","1","1","Oui","Unknown","Oui","oui, permet de réduire la lumière néfaste pour les yeux sur le long terme et être moins fatigué","2 x 2 Watts","Unknown","Oui","Oui","oui permet de régler la hauteur et l'inclinaison de l'écran","Unknown","Unknown","Oui","Boulanger se base sur une moyenne du coût unitaire de 0,2062 €/ KWh pour l'électricité au tarif bleu EDF d'un contrat de 6kVa ( tarifs au 1 mars 2023)","E","17 kWh","Unknown","61.3 x 36.4 x 4.7 cm","NC x 40.3 x 21 cm","5,70 Kg","4,10 Kg","Chine","2 ans","Pendant 3 ans, à compter de la date d'achat","PROLITE XUB2792HSU-W6 27''Plat IPS Blanc","IIYAMA"
